0xE31FEB46, clientids_shared
0xE76C4E37, gillam_var2
0xD511A982, gillam_var1
0x9096AE65, array
0x3CEF645C, giveachievement
0x219B25FB, setclientthirdperson
0xA775FF94, setperk
0xC72DEA74, unsetperk
0x71574FBB, notarg
0xBAB9C971, ignoreme
0x6B66F156, setdvar
0xF2C99E09, weapon
0xBF7AEA06, getweapon
0x60F89DE7, switchtoweapon
0xF8F78A5F, takeweapon
0xF5B3C2D2, get_upgrade_weapon
0x3CAACE59, weapon_supports_aat
0x18D600C7, zm_weapons
0x16B44C78, telegun
0xF5B5552C, notify
0x9B42093D, endon
0x9C7DB714, waittill
0x6342665C, setorigin
0x10FBBD86, bullettrace
0x8BA04402, gettagorigin
0x95B18032, anglestoforward
0xED2C8382, getplayerangles
0xF90C42FA, vec
0x75D24867, scale
0x4251C9C6, hideweapon
0xCAAE52CC, perk_name
0x89C39B06, vending_trigger_post_think
0xE466115, zm_perks
0x60EAC64, 0fa51d20-84d8-481e-be52-e2947c8c4df9
0x30378F5B, 4c74e538-ccc9-4bbb-957b-6f9d9f0b0192
0xE09C37DF, b99efbc8-1c46-49e5-9c13-947029bd4e1b
0x5FF355AA, b990577d-8b27-43da-9986-b0e9b9eb19b4
0x3B9F14F8, zombie
0x481B983D, getaiteamarray
0x9C3BDFFA, level
0x263C04C7, zombie_team
0x612E4664, dodamage
0x36DF771A, maxhealth
0xF97DCEF2, cea012db-b5f5-46f2-ae63-c4ebe8492785
0xF29DA9C0, df27ec8b-bad6-4e8c-8dca-846ecf0ec945
0x4E64731B, 33ca6505-a21a-402b-8966-4648ced8fb89
0x3BAACF86, 1f85f03c-158d-4675-8f52-a87230e67bfc
0xBA4A38B3, forceteleport
0x9C708156, zombiepos
0x9200B8EC, f53a9ddd-0243-4e82-8ce7-45cc2c3c7876
0xC435B326, 16e8ff69-73a7-4d79-a57c-eba74ebf7073
0xBA656726, 37928197-8b13-465a-871e-869b90909124
0x8B21CFDE, 8dfe763b-8579-441d-9423-184a3f11f57e
0xF189D938, zombo
0x6D76A487, 94f428d1-2a25-4d73-983a-827f3acf1e43
0xB04C9B0F, 992253fb-7dcb-4862-b3ce-701e720174e1
0xA5E55614, 328dd200-a724-4793-8f40-690f883f950a
0x8CF08A31, bf6f21eb-1f8f-4dce-baa8-f52f778108ce
0x7E659BD, chest
0x3F5EEA7D, chests
0x91C7EFCA, zombie_cost
0x6812B6DA, bc2501fc-0d36-46e1-85ae-7a002604f0a4
0x69D29D98, 648c4ffe-5f37-41c2-9f44-9e2bbd58df4c
0xE96AECC8, 73eac3b8-cfd4-4de6-9527-116d8ff64169
0x561AA9EE, b3199a24-d51a-4387-9c63-8e860c01e8ae
0xB7B93C91, setmatchflag
0x5273B572, players
0x1B1E9A69, closeingamemenu
0xCCA87AA9, current_weapon
0x84E83223, dropitem
0xA4511C21, takeallweapons
0x42CD9823, addrankxp
0x5EEEA006, updaterank
0x3ABD002B, rank
0x86BCACFC, uploadstats
0xC5A340AC, 198ed428-90e1-4ce8-8eb0-d0d9f8cf5d53
0x3163E758, 068b4dfe-44c4-4944-8608-86ea882cedee
0xCABB52A8, 5edfcb01-df12-4a15-a265-742e1a6c817c
0x442788DA, 68f05edd-061d-49d2-a1aa-4796754186cd
0x1D9CAED, gun_maxlevel
0x18579541, b1aafb71-65a7-4723-9a14-a8c569f24b2c
0xC596D1FA, 46ea56e2-5cc1-403b-b03a-ea4a7e31e0bb
0x2D6C5BA6, 67470bd2-3416-4937-9f6c-6bfd876b28c4
0x609080B0, 283f766e-65f3-4a80-9230-efd6519d4249
0xBB6D8433, 47629a50-7147-4b03-b409-70ecf4e7eba0
0x22040792, 508612f2-7649-451c-99a7-1e326e415776
0xB646F7AF, 40110279-7bcf-4d3a-9d30-51cbd7107290
0x81F85806, 66bc53d9-c90e-4f53-8988-b38a9cb75e1e
0x54CF4927, weapon_max2
0x4641AC10, weapon_max1
0x887E6C2A, weapon_max
0x2521E66E, 5c8dc69b-91ad-4a70-a1eb-b973718e3cf8
0x64D1F7DA, 1c8b57bf-ea02-4f56-b684-bfebedd11c64
0x43700DC3, 63281574-5acc-4aa0-b1a3-a2ba13a626af
0x5AC7EDC8, 47902f15-4266-4e9d-a265-1cb3273a7e77
0xD6B8E307, gun_unlocking
0xBB44EE66, b269db93-2078-4f3c-bc5d-b58ee5036613
0x795DEE9A, 9b3fa124-a36c-407c-855c-061a9b6c227d
0x3055E0EF, 7168fa05-2ca3-4b86-b87d-4bb04035ae34
0xAB29CD36, 2ea06697-9a28-46a3-9797-a1f009a52fec
0xB0B3CFB0, a51a6d7d-c37c-4098-a3c7-be9a3d49028e
0x982343F0, 1a55df44-72de-4670-ba40-f5b7acb84bb4
0x289D369F, ed4f3380-ecc7-4bcc-976a-4b1cef63cd1e
0x4F880A7F, d12f2433-1e34-49e0-9bae-0e344efcd1ee
0x6FC8C5E0, weapon_camos2
0x5D632115, weapon_camos1
0x18A6786D, weapon_camos
0xA7664148, addweaponstat
0x4A099A64, aimbot
0xD2670DB3, loc
0xD63BD11A, closestzombie
0x5FD4CD7C, get_all_closest
0x16E7A6D7, isfiring
0x64DE298A, isalive
0x66AE57A7, ismeleeing
0xCD1FC6F5, setplayerangles
0xE6FB74DF, vectortoangles
0x8E6F21F1, kill
0x314C9AA9, 200f3536-d5d5-43da-923f-49350404b1a0
0xBE44B999, f9c6b296-0f04-4af0-8f96-89ae3d3d47e6
0xE5185F99, af154409-036d-4dd8-8de0-5320e1f995ca
0xC26F2292, d9a8015f-986f-4cfb-92c8-b8af1572e6ac
0x2330A773, show_chest
0x57775C43, zm_magicbox
0xB1FAA4BD, jugg
0x8060662C, spawn_model
0xC520D445, setscale
0x77254628, spawnactor
0x7085D850, angles
0xE7B7E821, set_round_number
0x8A431644, zm_stats
0x28749380, addtestclient
0x5F6FE9E6, 45da15b1-c340-4896-a849-2b7aa20978ff
0xF8CF6310, e766b9dd-2510-4e1b-8e22-b71bb7bd848a
0x7C2B3BC5, ab39922c-6219-4c02-ab9e-b17b368fddd5
0x23E9A812, 8bd4600b-c03c-4ddf-8e45-21ccb68aca83
0xC90C8B5C, type
0x34764544, f6d7b62a-10b0-4ae9-bc87-0fa6ac137623
0xA80DD599, 5f7dcb11-631e-482f-8acc-ecd6e51a8627
0x1BDAF570, 7a3c6f15-c22a-4706-ba3d-214a510d0b71
0xADDEE1E0, 0f3d9319-150a-4a0b-ae10-2f82d3f04112
0x57D9AD1F, door
0xF28DA8FB, 9c3e5466-0e9c-46be-8710-9680c6698746
0xE74B5F5F, bf0eb5b7-c024-469e-8bbc-fa165b7b56af
0xA5977B8C, 64fdc59f-d0a4-46f1-8ce3-adf54f206c0a
0xD1AFCE9B, e9657c3d-5af6-4a37-b979-f0311f72aa86
0xAED02A3, trig
0x2DDFD734, all_trigs
0x73CFDB84, zombie_doors
0x9E0D84B0, types
0xD279413D, getentarray
0x85B35200, _door_open
0xCC2B17B5, door_opened
0x34BCEE61, zm_blockers
0x59691B68, target
0xBD646C9, set_hint_string
0x834E6250, zm_utility
0xA4E403BC, _doors_done
0x2F6020C8, camo
0x42B65B4C, calcweaponoptions
0x3E4F70E6, 55d8843c-f94d-4faa-aa0a-b693a26dfcca
0x18278ECF, 439344c9-3ce4-4378-b1c3-76e3395076a7
0x83411273, 866ed1af-917d-47c6-8833-660ce8b1b165
0xF2472912, 04d3b516-99d8-4630-9715-9ef4401379d6
0xBDB96033, mdl_head
0x37DD519, 4fcc0edf-2b6a-45e8-a5cf-9a5e468e2f38
0xC1242251, fb9d28d8-facd-4860-9a68-53da21650481
0xD8780F7A, ff3ef5e2-e2cc-49f5-8e68-0b61425e8dbf
0x65F52C0B, cdb871bf-01cd-4c66-843a-5a898bf13742
0x8E2C7CF1, a_clip
0x8A4A31D6, 1714d3ff-4dcd-4f3a-83c2-f9da05d613ac
0xD472B10C, 6d91301f-b241-4a56-afb4-357a407a4ecc
0xFD29D447, b8e7ed3f-2a5c-4c92-afea-a18ce74d0be1
0xA49AD4FC, 8528dc09-8a8c-46c5-8d80-728dab88253a
0x1B7A8D14, mdl_pap_room_debris_clip
0x867C1239, a_mdl_pap_room_debris_clip
0xA3BF61D7, mdl_sentinel_artifact
0x5430BAF1, set
0x3DEFE655, flag
0xBCB61858, getent
0x16C816A0, delete
0xFD156B8, connectpaths
0x498DB160, exploder
0x23732C48, clear
0x930CEBA9, increment_challenge_stat
0x63C11607, setmovespeedscale
0xD2C4DBE0, personal_instakill
0x8D72F049, val
0xB580D605, savelocationangle
0x238A14E3, saveloctog
0x98858A45, iprintln
0x8ACFF43D, 2ef709ef-349d-498d-bd3f-81073a76d99c
0x6877F019, borigin
0x329A9A76, bangles
0x5B9A7A2A, right
0xB35F2815, forward
0x80ADE7B5, chest_index
0x31F05A63, zbarrier
0x59AD4D4F, anglestoright
0x6B1B301D, randomint
0x6360E4B4, no_fly_away
0x1380A21F, currentnum
0x3242DF5A, jumpbuttonpressed
0x78A7772C, setvelocity
0xC8A4C626, getvelocity
0xA181E108, isonground
0x782CB789, a38674cd-d1b0-4bb6-8cc8-f101fc5d914b
0xB5F1246B, 6f55e72d-3420-4e34-bc3f-594346d780be
0x20F0B81B, 709a68b6-0a89-406d-aa01-00423658b7e7
0x8342D455, 82ec5728-cf0c-41b0-8fd4-6233f7d51fb6
0x28747C75, i
0x664F80FF, bo4nofalld
0xDAC0824C, register
0xE90FD9B0, system
0x4D0D4F6A, on_start_gametype
0x7DAB3BB8, callback
0x348AF419, on_spawned
0x364943FC, menuthreaded
0xE5F5767D, menuname
0x85CF58F1, menudeveloper
0x8E1F5A5F, autoverify
0xAEBD513B, strtok
0xC61CE003, menustatus
0x9272D068, a
0xA5E703C4, ishost
0x991DA49F, playersetting
0xE82DFD3F, definedvariables
0x7F7201FA, menu
0x89846BC, 74683a49-05a1-413b-8c3c-6158b09e9e05
0x526F1E6D, foundplayer
0xCCDB982F, sepmenu
0x8E0E1C4E, 4d736bc9-a962-4893-815c-37a38c057352
0xE0F0F308, 6035409f-a675-4009-8db8-aa570b7078d6
0xB3836FC, bc6ba217-cdfd-4943-8f5a-a05407eabf19
0x35E9292D, 38700d41-68c2-40a4-b061-4c24d41675ab
0xBD3940B, getentitynumber
0x79B89FCF, false
0xB41C2B01, 02419b7d-f62a-4465-9c88-9d060cef512f
0xECDED55B, altsubs
0xC11E58A3, randomintrange
0xAC7AE1BF, inc
0x3F03C370, curs
0x403E643E, arry
0x343D44EC, adsbuttonpressed
0x446C40A1, meleebuttonpressed
0x793E8F76, attackbuttonpressed
0xC571857E, name
0x159E1B60, usebuttonpressed
0x9D6CE02A, func
0xD3FDDAAF, slider
0x661273A5, incslider
0x7267E1A9, input4
0x63A54424, input3
0x95E4A8A2, input2
0x892B0F2F, input1
0x15034E66, menu_ss
0x8E828E44, menu_s
0x8F2C1038, bool
0xE350EAC1, secondaryoffhandbuttonpressed
0x86842DFD, fragbuttonpressed
0x16131FB9, intincrement
0xD46AE1F6, function
0x209C562D, i1
0xA08FD616, i2
0x52D53AA2, i3
0x45709FD9, i4
0x67C3E47F, i5
0xE7896404, i6
0x5026CAD6, printsize
0xC9F3BA19, str
0xCE97EE60, text
0x2BAD76D3, numopts
0x5DAD450C, start
0x9E0E664A, title
0x4EB63B8A, gettime
0xEC951849, lastrefresh
0xB0EAD2F8, menu_b
0xDD79EA5F, spawnstruct
0xB1439CFB, menuparent
0x39984A0F, temp
0xB74AB703, name2
0xEF3C1F23, incslidermin
0xBA3471A7, incsliderstart
0x5A0B101B, incslidermax
0x79851764, menu_st
0x5107AEB0, count
0x8E01F173, var
0x2012C955, min
0x3E83A132, max
0x6DF92736, increment
0xCE63585A, vals
0x5117DFCC, getsubstr
0xDBA83C1A, newarray
0xFE31E10E, exitlevel
0xD87C4CA9, msg
0x18544059, 9f8748d3-df90-4808-b34a-969b1ee16020
0x2176A44C, 8768b165-3096-4933-a542-27be28665337
0x66B7A149, 3d201325-e5d7-4534-852b-3ed7e1811a71
0xA5A43832, 12a24f1b-4394-454d-a6be-f495168a77b4
